date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:09:08	2615/2615	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/404-2.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/404-2.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:09:08	3725/3725	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/coming-soon-1.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/coming-soon-1.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:09:09	24136/24136	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/masonry-2-columns.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/masonry-2-columns.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:09:09	25578/25578	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/masonry-3-columns.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/masonry-3-columns.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:09:10	24805/24805	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/masonry-4-columns.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/masonry-4-columns.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:09:10	26270/26270	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/masonry-5-columns.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/masonry-5-columns.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:09:11	25514/25514	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/masonry-no-space.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/masonry-no-space.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:09:11	24553/24553	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/one-column-blog.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/one-column-blog.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:09:12	24838/24838	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/two-column-blog.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/two-column-blog.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:09:13	24772/24772	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/three-column-blog.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/three-column-blog.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:09:14	28708/28708	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/left-sidebar-blog.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/left-sidebar-blog.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:09:15	28723/28723	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/right-sidebar-blog.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/right-sidebar-blog.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:09:16	23822/23822	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/contact-us-1.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/contact-us-1.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:09:17	24008/24008	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jul%202019%2011:04:37%20GMT	https://iqonic.design/themes/bizbag-html/contact-us-2.html	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/contact-us-2.html	(from https://iqonic.design/themes/bizbag-html/index.html)
20:09:17	84/84	---M--	200	added ('OK')	image/png	etag:%2254-58e06b134c3f3%22	https://iqonic.design/themes/bizbag-html/revsilder/assets/transparent.png	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/revsilder/assets/transparent.png	(from https://iqonic.design/themes/bizbag-html/index.html)
20:09:17	15877/15877	---M--	200	added ('OK')	image/jpeg	etag:%223e05-58e06b134c3f3%22	https://iqonic.design/themes/bizbag-html/revsilder/assets/p3-1.jpg	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/revsilder/assets/p3-1.jpg	(from https://iqonic.design/themes/bizbag-html/index.html)
20:09:17	19382/19382	---M--	200	added ('OK')	image/jpeg	etag:%224bb6-58e06b134c3f3%22	https://iqonic.design/themes/bizbag-html/revsilder/assets/p1-7.jpg	C:/My%20Web%20Sites/padhhigh-template/iqonic.design/themes/bizbag-html/revsilder/assets/p1-7.jpg	(from https://iqonic.design/themes/bizbag-html/index.html)
